Journal_Name,Index_Category
Climate Risk Management,SSCI/SCIE/SCI
Climate Services,SSCI/SCIE/SCI
Clinical Child Psychology and Psychiatry,SSCI/SCIE/SCI
Clinical Gerontologist,SSCI/SCIE/SCI
Clinical Journal of Oncology Nursing,SSCI/SCIE/SCI
CLINICAL LINGUISTICS & PHONETICS,SSCI/SCIE/SCI
CLINICAL NEUROPSYCHOLOGIST,SSCI/SCIE/SCI
Clinical Nurse Specialist,SSCI/SCIE/SCI
Clinical Nursing Research,SSCI/SCIE/SCI
Clinical Psychological Science,SSCI/SCIE/SCI
Clinical Psychologist,SSCI/SCIE/SCI
Clinical Simulation in Nursing,SSCI/SCIE/SCI
Cliometrica,SSCI/SCI/AHCI
COASTAL MANAGEMENT,SSCI/SCIE/SCI
Cognition Technology & Work,SSCI/SCIE/SCI
COGNITIVE LINGUISTICS,SSCI/SCI/AHCI
Cognitive Neuropsychiatry,SSCI/SCIE/SCI
COGNITIVE NEUROPSYCHOLOGY,SSCI/SCIE/SCI
COGNITIVE PSYCHOLOGY,SSCI/SCIE/SCI
Cognitive Systems Research,SSCI/SCIE/SCI
Cold War History,SSCI/SCI/AHCI
Collegian,SSCI/SCIE/SCI
Communication and Critical-Cultural Studies,SSCI/SCI/AHCI
Communications in Transportation Research,SSCI/SCIE/SCI
COMPARATIVE STUDIES IN SOCIETY AND HISTORY,SSCI/SCI/AHCI
COMPREHENSIVE PSYCHIATRY,SSCI/SCIE/SCI
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,SSCI/SCIE/SCI
Computational and Mathematical Organization Theory,SSCI/SCIE/SCI
Computational Economics,SSCI/SCIE/SCI
COMPUTATIONAL LINGUISTICS,SSCI/SCIE/SCI/AHCI
Computer Assisted Language Learning,SSCI
COMPUTER MUSIC JOURNAL,SCIE/SCI/AHCI
Conflict and Health,SSCI/SCIE/SCI
Contemporary European History,SSCI/SCI/AHCI
Contemporary Nurse,SSCI/SCIE/SCI
Contemporary South Asia,SSCI/SCI/AHCI
Continuum-Journal of Media & Cultural Studies,SSCI/SCI/AHCI
Corpus Linguistics and Linguistic Theory,SSCI/SCI/AHCI
CORTEX,SSCI/SCIE/SCI
Critical Arts-South-North Cultural and Media Studies,SSCI/SCI/AHCI
Critical Care Nurse,SSCI/SCIE/SCI
Critical Care Nursing Clinics of North America,SSCI/SCIE/SCI
CRITICAL INQUIRY,SSCI/SCI/AHCI
CULTURAL CRITIQUE,SSCI/SCI/AHCI
CULTURAL STUDIES,SSCI/SCI/AHCI
Cultural Studies-Critical Methodologies,SSCI/SCI/AHCI
Cultural Studies of Science Education,SSCI/SCI/AHCI
Cultural Trends,SSCI/SCI/AHCI
Culture & History Digital Journal,SSCI/SCI/AHCI
Current Environmental Health Reports,SSCI/SCIE/SCI
Current Issues in Language Planning,SSCI/SCI/AHCI
Current Opinion in Behavioral Sciences,SSCI/SCIE/SCI
CURRENT OPINION IN PSYCHIATRY,SSCI/SCIE/SCI
Current Psychiatry Reports,SSCI/SCIE/SCI
Custos e Agronegocio On Line,SSCI/SCIE/SCI
DAEDALUS,SSCI/SCI/AHCI
Data Technologies and Applications,SSCI/SCIE/SCI
DEPRESSION AND ANXIETY,SSCI/SCIE/SCI
Developing World Bioethics,SSCI/SCIE/SCI
Developmental Cognitive Neuroscience,SSCI/SCIE/SCI
DEVELOPMENTAL NEUROPSYCHOLOGY,SSCI/SCIE/SCI
Diachronica,SSCI/SCI/AHCI
Dialectologia et Geolinguistica,SSCI/SCI/AHCI
Differences-A Journal of Feminist Cultural Studies,SSCI/SCI/AHCI
Digital Health,SSCI/SCIE/SCI
Digital Scholarship in the Humanities,SSCI/SCI/AHCI
DIPLOMATIC HISTORY,SSCI/SCI/AHCI
Disability and Health Journal,SSCI/SCIE/SCI
DISABILITY AND REHABILITATION,SSCI/SCIE/SCI
Disaster Medicine and Public Health Preparedness,SSCI/SCIE/SCI
DRUG AND ALCOHOL DEPENDENCE,SSCI/SCIE/SCI
Dutch Crossing-Journal of Low Countries Studies,SSCI/SCI/AHCI
Dynamis,SSCI/SCIE/SCI/AHCI
Early Intervention in Psychiatry,SSCI/SCIE/SCI
Early Science and Medicine,SCIE/SCI/AHCI
EARTH SCIENCES HISTORY,SSCI/SCIE/SCI
East Asian Science Technology and Society-An International Journal,SSCI/SCI/AHCI
EASTERN MEDITERRANEAN HEALTH JOURNAL,SSCI/SCIE/SCI
Eating Disorders,SSCI/SCIE/SCI
ECOLOGICAL ECONOMICS,SSCI/SCIE/SCI
ECOLOGY AND SOCIETY,SSCI/SCIE/SCI
ECONOMETRICA,SSCI/SCIE/SCI
Econometric Reviews,SSCI/SCIE/SCI
Econometrics Journal,SSCI/SCIE/SCI
ECONOMETRIC THEORY,SSCI/SCIE/SCI
Economic Computation and Economic Cybernetics Studies and Research,SSCI/SCIE/SCI
ECONOMIC HISTORY REVIEW,SSCI/SCI/AHCI
Economics & Human Biology,SSCI/SCIE/SCI
Ecosystem Services,SSCI/SCIE/SCI
EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,SSCI/SCIE/SCI
Electronic Commerce Research and Applications,SSCI/SCIE/SCI
ELT Journal,SSCI/SCI/AHCI
Empirical Studies of the Arts,SSCI/SCI/AHCI
Energy Efficiency,SSCI/SCIE/SCI
ENERGY JOURNAL,SSCI/SCIE/SCI
Energy Policy,SSCI/SCIE/SCI
Engineering Construction and Architectural Management,SSCI/SCIE/SCI
ENGINEERING ECONOMIST,SSCI/SCIE/SCI
Engineering Management Journal,SSCI/SCIE/SCI
Engineering Studies,SSCI/SCIE/SCI
ENGLISH HISTORICAL REVIEW,SSCI/SCI/AHCI
English Language & Linguistics,SSCI/SCI/AHCI
English Teaching-Practice and Critique,SSCI/SCI/AHCI
English Today,SSCI/SCI/AHCI
English World-Wide,SSCI/SCI/AHCI
ENVIRONMENT,SSCI/SCIE/SCI
ENVIRONMENTAL ARCHAEOLOGY,SCIE/SCI/AHCI
Environmental Health and Preventive Medicine,SSCI/SCIE/SCI
ENVIRONMENTAL HISTORY,SSCI/SCI/AHCI
Environmental Innovation and Societal Transitions,SSCI/SCIE/SCI
ENVIRONMENT AND HISTORY,SSCI/SCI/AHCI
Epidemiologia & Prevenzione,SSCI/SCIE/SCI
EPIDEMIOLOGY,SSCI/SCIE/SCI
Epidemiology and Psychiatric Sciences,SSCI/SCIE/SCI
EPJ Data Science,SSCI/SCIE/SCI
ERDE,SSCI/SCIE/SCI
Erdkunde,SSCI/SCIE/SCI
ERGONOMICS,SSCI/SCIE/SCI
Estudios Atacamenos,SSCI/SCI/AHCI
ESTUDIOS FILOLOGICOS,SSCI/SCI/AHCI
Ethical Perspectives,SSCI/SCI/AHCI
ETHICS,SSCI/SCI/AHCI
Ethics and Information Technology,SSCI/SCI/AHCI
Ethiopian Journal of Health Development,SSCI/SCIE/SCI
ETHNICITY & HEALTH,SSCI/SCIE/SCI
ETHNOHISTORY,SSCI/SCI/AHCI
Etikk i Praksis,SSCI/SCI/AHCI
EUROPEAN ADDICTION RESEARCH,SSCI/SCIE/SCI
EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,SSCI/SCIE/SCI
EUROPEAN HISTORY QUARTERLY,SSCI/SCI/AHCI
European Journal for Philosophy of Science,SCIE/SCI/AHCI
EUROPEAN JOURNAL OF CANCER CARE,SSCI/SCIE/SCI
European Journal of Cardiovascular Nursing,SSCI/SCIE/SCI
